category,category_name,item_id,item_name,formula,molar_mass_g_mol,basis,concentration_pct,temperature_c,density_kg_l
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,8.0,0.0,1.0423
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,10.0,0.0,1.0528
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,12.0,0.0,1.0634
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,14.0,0.0,1.0741
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,16.0,0.0,1.0849
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,18.0,0.0,1.0958
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,20.0,0.0,1.1067
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,22.0,0.0,1.1177
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,24.0,0.0,1.1287
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,26.0,0.0,1.1396
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,28.0,0.0,1.1505
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,30.0,0.0,1.1613
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,32.0,0.0,1.1763
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,34.0,0.0,1.1876
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,36.0,0.0,1.1988
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,38.0,0.0,1.21
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,0,10,0.9997021
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,1.0,10.0,1.0048
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,2.0,10.0,1.01
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,4.0,10.0,1.0202
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,6.0,10.0,1.0303
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,8.0,10.0,1.0403
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,10.0,10.0,1.0504
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,12.0,10.0,1.0607
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,14.0,10.0,1.0711
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,16.0,10.0,1.0815
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,18.0,10.0,1.092
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,20.0,10.0,1.1025
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,22.0,10.0,1.1131
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,24.0,10.0,1.1238
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,26.0,10.0,1.1344
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,28.0,10.0,1.1449
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,30.0,10.0,1.1553
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,32.0,10.0,1.1674
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,34.0,10.0,1.1781
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,36.0,10.0,1.1889
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,38.0,10.0,1.1996
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,0,20,0.9982063
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,1.0,20.0,1.0032
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,2.0,20.0,1.0082
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,4.0,20.0,1.0181
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,6.0,20.0,1.0279
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,8.0,20.0,1.0376
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,10.0,20.0,1.0474
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,12.0,20.0,1.0574
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,14.0,20.0,1.0675
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,16.0,20.0,1.0776
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,18.0,20.0,1.0878
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,20.0,20.0,1.098
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,22.0,20.0,1.1083
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,24.0,20.0,1.1187
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,26.0,20.0,1.129
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,28.0,20.0,1.1392
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,30.0,20.0,1.1493
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,32.0,20.0,1.1593
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,34.0,20.0,1.1691
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,36.0,20.0,1.1789
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,38.0,20.0,1.1885
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,40.0,20.0,1.198
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,0,40,0.9922204
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,1.0,40.0,0.997
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,2.0,40.0,1.0019
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,4.0,40.0,1.0116
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,6.0,40.0,1.0211
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,8.0,40.0,1.0305
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,10.0,40.0,1.04
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,12.0,40.0,1.0497
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,14.0,40.0,1.0594
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,16.0,40.0,1.0692
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,18.0,40.0,1.079
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,20.0,40.0,1.0888
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,22.0,40.0,1.0986
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,24.0,40.0,1.1085
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,26.0,40.0,1.1183
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,28.0,40.0,1.128
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,30.0,40.0,1.1376
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,32.0,40.0,1.1471
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,34.0,40.0,1.1566
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,36.0,40.0,1.1661
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,38.0,40.0,1.1754
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,0,60,0.9832
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,1.0,60.0,0.9881
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,2.0,60.0,0.993
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,4.0,60.0,1.0026
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,6.0,60.0,1.0121
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,8.0,60.0,1.0215
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,10.0,60.0,1.031
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,12.0,60.0,1.0406
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,14.0,60.0,1.0502
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,16.0,60.0,1.0598
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,18.0,60.0,1.0694
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,20.0,60.0,1.079
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,22.0,60.0,1.0886
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,24.0,60.0,1.0982
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,26.0,60.0,1.1076
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,28.0,60.0,1.1169
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,30.0,60.0,1.126
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,32.0,60.0,1.1359
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,34.0,60.0,1.1452
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,36.0,60.0,1.1544
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,38.0,60.0,1.1635
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,0,80,0.97179
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,1.0,80.0,0.9768
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,2.0,80.0,0.9819
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,4.0,80.0,0.9919
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,6.0,80.0,1.0016
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,8.0,80.0,1.0111
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,10.0,80.0,1.0206
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,12.0,80.0,1.0302
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,14.0,80.0,1.0398
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,16.0,80.0,1.0494
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,18.0,80.0,1.059
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,20.0,80.0,1.0685
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,22.0,80.0,1.078
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,24.0,80.0,1.0874
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,26.0,80.0,1.0967
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,28.0,80.0,1.1058
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,30.0,80.0,1.1149
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,32.0,80.0,1.1246
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,34.0,80.0,1.1339
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,36.0,80.0,1.1432
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,38.0,80.0,1.1525
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,1.0,100.0,0.9636
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,2.0,100.0,0.9688
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,4.0,100.0,0.9791
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,6.0,100.0,0.9892
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,8.0,100.0,0.9992
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,10.0,100.0,1.009
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,12.0,100.0,1.0188
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,14.0,100.0,1.0286
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,16.0,100.0,1.0383
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,18.0,100.0,1.0479
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,20.0,100.0,1.0574
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,22.0,100.0,1.0668
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,24.0,100.0,1.0761
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,26.0,100.0,1.0853
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,28.0,100.0,1.0942
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,30.0,100.0,1.103
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,32.0,100.0,1.1126
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,34.0,100.0,1.1216
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,36.0,100.0,1.1305
inorganic_acid,无机酸,hydrochloric,盐酸,HCl,36.46094,weight,38.0,100.0,1.1393
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,0,0,0.99984283
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,1.0,0.0,1.0074
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,2.0,0.0,1.0147
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,3.0,0.0,1.0219
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,4.0,0.0,1.0291
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,5.0,0.0,1.0364
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,6.0,0.0,1.0437
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,7.0,0.0,1.0511
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,8.0,0.0,1.0585
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,9.0,0.0,1.066
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,10.0,0.0,1.0735
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,11.0,0.0,1.081
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,12.0,0.0,1.0886
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,13.0,0.0,1.0962
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,14.0,0.0,1.1039
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,15.0,0.0,1.1116
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,16.0,0.0,1.1194
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,17.0,0.0,1.1272
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,18.0,0.0,1.1351
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,19.0,0.0,1.143
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,20.0,0.0,1.151
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,21.0,0.0,1.159
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,22.0,0.0,1.167
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,23.0,0.0,1.1751
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,24.0,0.0,1.1832
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,25.0,0.0,1.1914
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,26.0,0.0,1.1996
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,27.0,0.0,1.2078
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,28.0,0.0,1.216
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,29.0,0.0,1.2243
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,30.0,0.0,1.2326
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,31.0,0.0,1.2409
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,32.0,0.0,1.2493
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,33.0,0.0,1.2577
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,34.0,0.0,1.2661
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,35.0,0.0,1.2746
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,36.0,0.0,1.2831
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,37.0,0.0,1.2917
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,38.0,0.0,1.3004
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,39.0,0.0,1.3091
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,40.0,0.0,1.3179
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,41.0,0.0,1.3268
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,42.0,0.0,1.3357
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,43.0,0.0,1.3447
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,44.0,0.0,1.3538
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,45.0,0.0,1.363
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,46.0,0.0,1.3724
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,47.0,0.0,1.3819
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,48.0,0.0,1.3915
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,49.0,0.0,1.4012
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,50.0,0.0,1.411
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,51.0,0.0,1.4209
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,52.0,0.0,1.431
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,53.0,0.0,1.4412
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,54.0,0.0,1.4515
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,55.0,0.0,1.4619
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,56.0,0.0,1.4724
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,57.0,0.0,1.483
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,58.0,0.0,1.4937
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,59.0,0.0,1.5045
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,60.0,0.0,1.5154
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,61.0,0.0,1.5264
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,62.0,0.0,1.5375
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,63.0,0.0,1.5487
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,64.0,0.0,1.56
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,65.0,0.0,1.5714
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,66.0,0.0,1.5828
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,67.0,0.0,1.5943
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,68.0,0.0,1.6059
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,69.0,0.0,1.6176
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,70.0,0.0,1.6293
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,71.0,0.0,1.6411
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,72.0,0.0,1.6529
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,73.0,0.0,1.6648
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,74.0,0.0,1.6768
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,75.0,0.0,1.6888
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,76.0,0.0,1.7008
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,77.0,0.0,1.7128
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,78.0,0.0,1.7247
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,79.0,0.0,1.7365
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,80.0,0.0,1.7482
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,81.0,0.0,1.7597
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,82.0,0.0,1.7709
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,83.0,0.0,1.7815
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,84.0,0.0,1.7916
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,85.0,0.0,1.8009
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,86.0,0.0,1.8095
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,87.0,0.0,1.8173
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,88.0,0.0,1.8243
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,89.0,0.0,1.8306
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,90.0,0.0,1.8361
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,91.0,0.0,1.841
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,92.0,0.0,1.8453
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,93.0,0.0,1.849
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,94.0,0.0,1.852
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,95.0,0.0,1.8544
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,96.0,0.0,1.856
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,97.0,0.0,1.8569
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,98.0,0.0,1.8567
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,99.0,0.0,1.8551
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,100.0,0.0,1.8517
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,0,10,0.9997021
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,1.0,10.0,1.0068
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,2.0,10.0,1.0138
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,3.0,10.0,1.0206
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,4.0,10.0,1.0275
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,5.0,10.0,1.0344
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,6.0,10.0,1.0414
inorganic_acid,无机酸,sulfuric,硫酸,H2SO4,98.07848,weight,7.0,10.0,1.0485
